make,car_model,depth,height,width
Audi,A8 QUATTRO 3.0 TDI CLEAN DIESEL 184KW 4DR SALOON 2013,84,108,101
Audi,Q3 1.4 TFSI5DR SALOON 2014,87,92,99
Audi,Q3 QUATTRO STRONIC 2.0 TDI 5DR 4X4 2011,85,92,94
Audi,Q5 2.0 TDI 5DR 4X4 2009,91,79,105
Audi,Q5 3.0 TDI CLEAN DIESEL QUATTRO S TRONIC 5DR 4X4 2014,91,79,105
Audi,Q5 HYBRID 2.0 155KW HYBRID 180KW 5DR 4X4 2010,91,79,105
Audi,R8 SPYDER QUATTRO S TRONIC V 10 5.2 386KW 525 PS 2DR CONVERTIBLE 2013,32,50,55
Audi,RS3 SPORTBACK 2.5 S-TRONIC (7GEAR) 5DR HATCH 2011,79,72,90
Audi,TT 2.0 TFSI 2DR COUPE 2010,80,61,101
Audi,TT COUPE 2.0 TDI 3DR COUPE 2008,80,61,101
Audi,TT RS 2.5 3DR COUPE 2010,80,61,101
Toyota,AURIS 1.2 T COMFORT 5DR HATCH 2015,78,75,94
Toyota,AURIS TOURING SPORTS 1.6 D-4D COMFORT 5DR ESTATE 2015,104,69,94
Toyota,AVENSIS TOURING SPORTS 2.0 D-4D COMFORT 5DR ESTATE 2015,110,70,98
Toyota,AYGO 1.0 5DR HATCH 2020,48,82,98
Mercedes Benz,B 180 STYLE 5DR MPV 2015,84,79,104
Mercedes Benz,B 220 5DR MPV 2019,81,80,105
Mercedes Benz,B 250 E AMG 5DR MPV 2020,82,79,103
Mercedes Benz,B-CLASS ELECTRIC DRIVE ELECTRIC ART 5DR MPV 2015,74,81,104
Suzuki,BALENO 1.0 5DR HATCH 2016,71,83,100
Citroen,BERLINGO 5DR SALOON 2018,99,100,119
Citroen,BERLINGO M 5DR SALOON 2019,99,100,119
BMW,114I 75KW 5DR HATCH 2012,80,73,90
BMW,116D DPF 1.6 3DR HATCH 2009,77,73,70
BMW,116D DPF 1.6 5DR HATCH 2012,80,73,90
BMW,118D 2.0 3DR HATCH,77,73,92
BMW,118D 5DR HATCH 2011,80,73,90
BMW,118I 5DR HATCH 2011,80,73,90
BMW,118I SE 5DR HATCH,79,74,93
BMW,120D BLUE PERFORMANCE SPORTLINE 120D 135KW 184 PS 3DR HATCH 2013,80,73,90
BMW,120D CABRIO 120D 2DR CONVERTIBLE 2011,73,40,70
BMW,120D MSPORT 2.0 5DR HATCH,79,74,94
BMW,120D URBAN LINE AUTOMATIC 120D 5DR HATCH 2012,80,73,90
BMW,125I CABRIO 2DR CONVERTIBLE,73,40,94
BMW,1ER COUPE 123D 2DR COUPE 2011,90,47,70
BMW,1ER COUPE 1ER M 2DR COUPE 2011,90,47,70
BMW,2 SERIES COUPE M SPORTPAKET STEPTRONIC 2DR COUPE 2014,91,47,94
BMW,218D ACTIVE TOURER SPORT LINE 5DR MPV 2014,86,75,101
BMW,218I ACTIVE TOURER5DR MPV 2015,86,75,101
BMW,220I COUPE M SPORT STEPTRONIC 2DR COUPE 2014,91,47,94
BMW,316D 2.0 4DR SALOON 2010,97,49,94
BMW,318 D FACELIFT 1.8D 4DR SALOON 2008,97,49,94
BMW,318D GT AUTOMATIC 105KW 143 PS 5DR HATCH 2013,102,69,94
BMW,318I 1.8 4DR SALOON,94,51,94
BMW,320D 2.0D 4DR SALOON 2012,98,50,75
BMW,320D EFFICIENTDYNAMICS EDITION BLUEPERFORMANCE 2.0D 120KW 4DR SALOON 2012,98,50,75
BMW,320D SE 2.0 2DR COUPE,96,48,93
BMW,320D SE TOURING 2 5DR ESTATE,93,70,92
BMW,320D TOURING 2.0 5DR ESTATE 2008,94,70,93
BMW,320D TOURING BLUEPERFORMANCE SPORT 2.0 DIESEL 5DR ESTATE 2012,98,70,93
BMW,320D TOURING EDE 320D 5DR ESTATE 2011,94,70,93
BMW,320D TOURING EFFICIENTDYNAMICS BLUEPERFORMANCE 5DR ESTATE 2014,98,70,93
BMW,320D TOURING XDRIVE 2.0 5DR ESTATE 2008,94,70,93
BMW,320I COUPE 2DR COUPE 2010,96,47,93
BMW,320I EFFICIENTDYNAMICS EDITION 2.0I 125KW 4DR SALOON 2013,98,50,75
BMW,325I CABRIOLET 2DR CONVERTIBLE 2010,77,47,71
BMW,328I LUXURYLINE 2.0I 4DR SALOON 2012,98,50,75
BMW,330D CABRIO 2DR CONVERTIBLE,77,47,71
BMW,330D TOURING 3.0 DIESEL 5DR ESTATE 2013,98,70,93
BMW,335D 2DR COUPE,96,48,93
BMW,4 SERIES CABRIO SPORT LINE STEPTRONIC 2DR CONVERTIBLE 2014,88,46,66
BMW,420D COUPE BLUEPERFORMANCE 135KW 184 PS 2DR COUPE 2013,98,48,76
BMW,428I GRAN COUPE LUXURYLINE 5DR COUPE 2014,95,66,94
BMW,5 SERIES EFFICIENTDYNAMICS EDITION 20D4DR SALOON 2011,114,52,83
BMW,520D BLUE PERFORMANCE 135KW 4DR SALOON 2013,118,51,80
BMW,520D EDE BLUE PERFORMANCE 520D 135KW 4DR SALOON 2012,118,51,80
BMW,520D TOURING 2.0 5DR ESTATE 2011,105,73,109
BMW,520D TOURING 5DR ESTATE 2010,105,73,109
BMW,520I STEPTRONIC 4DR SALOON 2008,112,53,90
BMW,520I TOURING 2.0 5DR ESTATE 2011,105,73,109
BMW,528I AUTOMATIC 4DR SALOON 2010,118,51,80
BMW,530D BLUE PERFORMANCE 3.0 4DR SALOON 2010,118,51,80
BMW,530D GT 5DR HATCH 2010,90,67,104
BMW,640D GRAN COUPE 3L 230 KW 4DR COUPE 2012,109,50,71
BMW,640I 2DR CONVERTIBLE 2011,89,86,84
BMW,640I COUPE AUTOMATIC 2DR COUPE 2011,99,48,83
BMW,7 ACTIVE HYBRID 4.4L 4DR SALOON 2010,109,52,50
BMW,730D 3.0 4DR SALOON 2008,109,52,78
BMW,730D 4DR SALOON,109,48,75
BMW,730D BLUEPERFORMANCE 190KW 4DR SALOON 2013,110,48,78
BMW,730D BLUEPERFORMANCE 4DR SALOON 2011,110,48,78
BMW,740D 3.0 4DR SALOON 2009,109,52,78
BMW,740I 740I 4DR SALOON 2009,109,52,78
BMW,740I AUTOMATIC 235KW 4DR SALOON 2013,110,48,78
BMW,ACTIVE HYBRID 3 SPORT LINE 3.0I 4DR SALOON 2013,98,50,75
BMW,I3 E-MOTOR 5DR HATCH 2013,70,65,97
BMW,M3 CABRIO M DKG 2DR CONVERTIBLE 2008,77,47,71
